key,value
scope,NON_DEPLOYABLE_NON_PERFORMANCE_OBSERVATION
deployment_id,KINGEA-DEMO2-STAGE8-OBSERVATION
server,JustMarkets-Demo2
symbol_id,ETHUSD.s
observed_server_time,2026.08.02 12:41:34
specification_hash,80B1088172CF232B585CBE41B83D5CE932DD31C91227EF1907CDA85698BB8246
classification,0
entry_allowed_for_observation_only,1
description,Ethereum vs US Dollar
path,Crypto S\ETHUSD.s
currency_base,USD
currency_profit,USD
currency_margin,USD
digits,2
point,0.010000000000
tick_size,0.010000000000
tick_value,0.010000000000
tick_value_profit,0.010000000000
tick_value_loss,0.010000000000
contract_size,1.000000000000
calc_mode,2
execution_mode,2
filling_mode,1
order_mode,127
expiration_mode,15
trade_mode,4
volume_min,0.010000000000
volume_max,100.000000000000
volume_step,0.010000000000
volume_limit,0.000000000000
stops_level,0
freeze_level,0
margin_initial,0.000000000000
margin_maintenance,0.000000000000
margin_hedged,1.000000000000
margin_rate_buy,0.002000000000
margin_rate_sell,0.002000000000
session_count,8
session_0,300-540
session_1,1140-86400
session_2,86700-172800
session_3,173100-259200
session_4,259500-345600
session_5,345900-432000
session_6,432300-518400
session_7,518700-604800
tick_probe_reported,0.010000000000
tick_probe_calculated,0.010000000000
live_margin_per_lot,4.00000000
hmr_proxy_margin_per_lot,9.34630000
stressed_margin_level_percent,1069942.1161
stressed_free_margin_ratio,0.99990654
order_capability,PROHIBITED_AND_ABSENT
performance_authorization,DENIED
baseline_approval,PENDING_OWNER_REVIEW
