type,start_msc,end_msc,identity
MAINTENANCE_ENTRY_BLOCK,1617233400000,1617234900000,DAILY_SERVER_CLOSE_20210401_0000_0005
MAINTENANCE_FORCE_FLAT,1617234900000,1617235500000,DAILY_SERVER_CLOSE_20210401_0000_0005
MAINTENANCE_RECOVERY,1617235500000,1617236400000,DAILY_SERVER_CLOSE_20210401_0000_0005
KINGEA_ENTRY_BLACKOUT,1617289200000,1617291900000,840140001:149955
BROKER_HMR_SCHEDULED,1617290100000,1617291300000,840140001:149955
KINGEA_ENTRY_BLACKOUT,1617293700000,1617296400000,840500001:150054
BROKER_HMR_SCHEDULED,1617294600000,1617295800000,840500001:150054
KINGEA_ENTRY_BLACKOUT,1617294600000,1617297300000,840040001:142358
KINGEA_ENTRY_BLACKOUT,1617294600000,1617297300000,840040002:142370
BROKER_HMR_SCHEDULED,1617295500000,1617296700000,840040001:142358
BROKER_HMR_SCHEDULED,1617295500000,1617296700000,840040002:142370
MAINTENANCE_ENTRY_BLOCK,1617319800000,1617321300000,DAILY_SERVER_CLOSE_20210402_0000_0005
MAINTENANCE_FORCE_FLAT,1617321300000,1617321900000,DAILY_SERVER_CLOSE_20210402_0000_0005
MAINTENANCE_RECOVERY,1617321900000,1617322800000,DAILY_SERVER_CLOSE_20210402_0000_0005
KINGEA_ENTRY_BLACKOUT,1617375600000,1617378300000,840030015:140292
KINGEA_ENTRY_BLACKOUT,1617375600000,1617378300000,840030016:140304
KINGEA_ENTRY_BLACKOUT,1617375600000,1617378300000,840030018:140328
BROKER_HMR_SCHEDULED,1617376500000,1617377700000,840030015:140292
BROKER_HMR_SCHEDULED,1617376500000,1617377700000,840030016:140304
BROKER_HMR_SCHEDULED,1617376500000,1617377700000,840030018:140328
MAINTENANCE_ENTRY_BLOCK,1617406200000,1617407700000,DAILY_SERVER_CLOSE_20210403_0000_0005
MAINTENANCE_FORCE_FLAT,1617407700000,1617408300000,DAILY_SERVER_CLOSE_20210403_0000_0005
MAINTENANCE_RECOVERY,1617408300000,1617409200000,DAILY_SERVER_CLOSE_20210403_0000_0005
MAINTENANCE_ENTRY_BLOCK,1617492600000,1617494100000,DAILY_SERVER_CLOSE_20210404_0000_0005
MAINTENANCE_ENTRY_BLOCK,1617493140000,1617494640000,SUNDAY_SERVER_CLOSE_20210404_0009_0019
MAINTENANCE_FORCE_FLAT,1617494100000,1617494700000,DAILY_SERVER_CLOSE_20210404_0000_0005
MAINTENANCE_FORCE_FLAT,1617494640000,1617495540000,SUNDAY_SERVER_CLOSE_20210404_0009_0019
MAINTENANCE_RECOVERY,1617494700000,1617495600000,DAILY_SERVER_CLOSE_20210404_0000_0005
MAINTENANCE_RECOVERY,1617495540000,1617496440000,SUNDAY_SERVER_CLOSE_20210404_0009_0019
MAINTENANCE_ENTRY_BLOCK,1617579000000,1617580500000,DAILY_SERVER_CLOSE_20210405_0000_0005
MAINTENANCE_FORCE_FLAT,1617580500000,1617581100000,DAILY_SERVER_CLOSE_20210405_0000_0005
MAINTENANCE_RECOVERY,1617581100000,1617582000000,DAILY_SERVER_CLOSE_20210405_0000_0005
KINGEA_ENTRY_BLACKOUT,1617639300000,1617642000000,840500002:150154
BROKER_HMR_SCHEDULED,1617640200000,1617641400000,840500002:150154
KINGEA_ENTRY_BLACKOUT,1617640200000,1617642900000,840040003:142382
KINGEA_ENTRY_BLACKOUT,1617640200000,1617642900000,840040008:142452
BROKER_HMR_SCHEDULED,1617641100000,1617642300000,840040003:142382
BROKER_HMR_SCHEDULED,1617641100000,1617642300000,840040008:142452
MAINTENANCE_ENTRY_BLOCK,1617665400000,1617666900000,DAILY_SERVER_CLOSE_20210406_0000_0005
MAINTENANCE_FORCE_FLAT,1617666900000,1617667500000,DAILY_SERVER_CLOSE_20210406_0000_0005
MAINTENANCE_RECOVERY,1617667500000,1617668400000,DAILY_SERVER_CLOSE_20210406_0000_0005
KINGEA_ENTRY_BLACKOUT,1617726600000,1617729300000,840030021:142645
BROKER_HMR_SCHEDULED,1617727500000,1617728700000,840030021:142645
MAINTENANCE_ENTRY_BLOCK,1617751800000,1617753300000,DAILY_SERVER_CLOSE_20210407_0000_0005
MAINTENANCE_FORCE_FLAT,1617753300000,1617753900000,DAILY_SERVER_CLOSE_20210407_0000_0005
MAINTENANCE_RECOVERY,1617753900000,1617754800000,DAILY_SERVER_CLOSE_20210407_0000_0005
KINGEA_ENTRY_BLACKOUT,1617814800000,1617817500000,840200001:149574
BROKER_HMR_SCHEDULED,1617815700000,1617816900000,840200001:149574
MAINTENANCE_ENTRY_BLOCK,1617838200000,1617839700000,DAILY_SERVER_CLOSE_20210408_0000_0005
MAINTENANCE_FORCE_FLAT,1617839700000,1617840300000,DAILY_SERVER_CLOSE_20210408_0000_0005
MAINTENANCE_RECOVERY,1617840300000,1617841200000,DAILY_SERVER_CLOSE_20210408_0000_0005
KINGEA_ENTRY_BLACKOUT,1617894000000,1617896700000,840140001:149975
BROKER_HMR_SCHEDULED,1617894900000,1617896100000,840140001:149975
KINGEA_ENTRY_BLACKOUT,1617906600000,1617909300000,840050022:150828
BROKER_HMR_SCHEDULED,1617907500000,1617908700000,840050022:150828
MAINTENANCE_ENTRY_BLOCK,1617924600000,1617926100000,DAILY_SERVER_CLOSE_20210409_0000_0005
MAINTENANCE_FORCE_FLAT,1617926100000,1617926700000,DAILY_SERVER_CLOSE_20210409_0000_0005
MAINTENANCE_RECOVERY,1617926700000,1617927600000,DAILY_SERVER_CLOSE_20210409_0000_0005
KINGEA_ENTRY_BLACKOUT,1617980400000,1617983100000,840030001:140114
BROKER_HMR_SCHEDULED,1617981300000,1617982500000,840030001:140114
MAINTENANCE_ENTRY_BLOCK,1618011000000,1618012500000,DAILY_SERVER_CLOSE_20210410_0000_0005
MAINTENANCE_FORCE_FLAT,1618012500000,1618013100000,DAILY_SERVER_CLOSE_20210410_0000_0005
MAINTENANCE_RECOVERY,1618013100000,1618014000000,DAILY_SERVER_CLOSE_20210410_0000_0005
MAINTENANCE_ENTRY_BLOCK,1618097400000,1618098900000,DAILY_SERVER_CLOSE_20210411_0000_0005
MAINTENANCE_ENTRY_BLOCK,1618097940000,1618099440000,SUNDAY_SERVER_CLOSE_20210411_0009_0019
MAINTENANCE_FORCE_FLAT,1618098900000,1618099500000,DAILY_SERVER_CLOSE_20210411_0000_0005
MAINTENANCE_FORCE_FLAT,1618099440000,1618100340000,SUNDAY_SERVER_CLOSE_20210411_0009_0019
MAINTENANCE_RECOVERY,1618099500000,1618100400000,DAILY_SERVER_CLOSE_20210411_0000_0005
MAINTENANCE_RECOVERY,1618100340000,1618101240000,SUNDAY_SERVER_CLOSE_20210411_0009_0019
MAINTENANCE_ENTRY_BLOCK,1618183800000,1618185300000,DAILY_SERVER_CLOSE_20210412_0000_0005
MAINTENANCE_FORCE_FLAT,1618185300000,1618185900000,DAILY_SERVER_CLOSE_20210412_0000_0005
MAINTENANCE_RECOVERY,1618185900000,1618186800000,DAILY_SERVER_CLOSE_20210412_0000_0005
KINGEA_ENTRY_BLACKOUT,1618255800000,1618258500000,840220014:141636
BROKER_HMR_SCHEDULED,1618256700000,1618257900000,840220014:141636
MAINTENANCE_ENTRY_BLOCK,1618270200000,1618271700000,DAILY_SERVER_CLOSE_20210413_0000_0005
MAINTENANCE_FORCE_FLAT,1618271700000,1618272300000,DAILY_SERVER_CLOSE_20210413_0000_0005
MAINTENANCE_RECOVERY,1618272300000,1618273200000,DAILY_SERVER_CLOSE_20210413_0000_0005
KINGEA_ENTRY_BLACKOUT,1618326000000,1618328700000,840030005:140168
KINGEA_ENTRY_BLACKOUT,1618326000000,1618328700000,840030006:140180
KINGEA_ENTRY_BLACKOUT,1618326000000,1618328700000,840030007:140192
KINGEA_ENTRY_BLACKOUT,1618326000000,1618328700000,840030034:140476
KINGEA_ENTRY_BLACKOUT,1618326000000,1618328700000,840030035:140488
BROKER_HMR_SCHEDULED,1618326900000,1618328100000,840030005:140168
BROKER_HMR_SCHEDULED,1618326900000,1618328100000,840030006:140180
BROKER_HMR_SCHEDULED,1618326900000,1618328100000,840030007:140192
BROKER_HMR_SCHEDULED,1618326900000,1618328100000,840030034:140476
BROKER_HMR_SCHEDULED,1618326900000,1618328100000,840030035:140488
KINGEA_ENTRY_BLACKOUT,1618342200000,1618344900000,840220015:141639
BROKER_HMR_SCHEDULED,1618343100000,1618344300000,840220015:141639
MAINTENANCE_ENTRY_BLOCK,1618356600000,1618358100000,DAILY_SERVER_CLOSE_20210414_0000_0005
MAINTENANCE_FORCE_FLAT,1618358100000,1618358700000,DAILY_SERVER_CLOSE_20210414_0000_0005
MAINTENANCE_RECOVERY,1618358700000,1618359600000,DAILY_SERVER_CLOSE_20210414_0000_0005
KINGEA_ENTRY_BLACKOUT,1618419600000,1618422300000,840200001:149670
BROKER_HMR_SCHEDULED,1618420500000,1618421700000,840200001:149670
KINGEA_ENTRY_BLACKOUT,1618425000000,1618427700000,840050022:151088
BROKER_HMR_SCHEDULED,1618425900000,1618427100000,840050022:151088
MAINTENANCE_ENTRY_BLOCK,1618443000000,1618444500000,DAILY_SERVER_CLOSE_20210415_0000_0005
MAINTENANCE_FORCE_FLAT,1618444500000,1618445100000,DAILY_SERVER_CLOSE_20210415_0000_0005
MAINTENANCE_RECOVERY,1618445100000,1618446000000,DAILY_SERVER_CLOSE_20210415_0000_0005
KINGEA_ENTRY_BLACKOUT,1618498800000,1618501500000,840020010:139231
KINGEA_ENTRY_BLACKOUT,1618498800000,1618501500000,840020011:139243
KINGEA_ENTRY_BLACKOUT,1618498800000,1618501500000,840070001:141090
KINGEA_ENTRY_BLACKOUT,1618498800000,1618501500000,840140001:150000
BROKER_HMR_SCHEDULED,1618499700000,1618500900000,840020010:139231
BROKER_HMR_SCHEDULED,1618499700000,1618500900000,840020011:139243
BROKER_HMR_SCHEDULED,1618499700000,1618500900000,840070001:141090
BROKER_HMR_SCHEDULED,1618499700000,1618500900000,840140001:150000
